text,label
я пытаюсь помнить когда обращаюсь а,2.0
так девушка мне надо вот завтра идти тут у меня короче один маленький дефис,4.0
да да да не,1.0
я семьдесят четыре года слова чего поить пока давно получает,4.0
спасибо надежда сейчас нет,2.0
сообщение подождите звукового сигнала сообщение подождите звукового сигнала,4.0
часть чего это как то,4.0
выключить твою дачу,2.0
алиса а тригрим есть,4.0
на кольцевой это как вот сразу не далеко да,4.0
нет я если что посмотрю на сайте до свидания,3.0
девушка это сейчас просто долго все мне просто некогда я на работе,2.0
але не слышишь повторить,1.0
у меня все есть повяте мне без денег мне не надо,2.0
я вам когда оставляла заявку на этот заказ,4.0
иса богаткова семьдесят шесть корпус два нажмите три для повторного прослушивания да,4.0
ну вы подписаны пидоры так что у меня нету ничего к вам,2.0
да нет связка,2.0
думаешь давай ка ты минимально,1.0
отделом продаж нажмите 1 бухгалтерии нажмите 2 по вопросу технического обеспечения,2.0
когда я,4.0
же говорю иди на,2.0
нет спасибо у меня уже есть зачет ничего,2.0
я узнаю что чесанки до свидания,4.0
спасибо вам мне ничего не интересует по этому поводу,2.0
не понял еще раз я плохо слышу,2.0
нет я думаю нет я получаю пенсию которые мне положены повода,2.0
повторите пожалуйста,4.0
доставка ну чего так в одно одноименно это общаться не,4.0
а это куда нужно обратиться в какой банк,1.0
это какая товар сука ты чего,2.0
а не могли бы перезвонить,1.0
я да да,1.0
не интересует вопросы спасибо вам большое за звонок спасибо до свидания,2.0
кольно еще раз поставь алло,1.0
нам не надо кредит спасибо,2.0
квартира в принципе ее так то снялась продажи вроде,1.0
придумай неисправен як,4.0
нет это лучше решать вопросы руководителя давайте,2.0
это смысле есть ли пакет который большой за 32000,4.0
когда мы делали да,1.0
по телефону не выдает,2.0
ха ха нет,2.0
я сначала не услышала вас вы кто представьтесь пожалуйста,4.0
вы извините я сейчас очень да,2.0
а сколько стоит вообще вас с*** аренда,2.0
спасибо большое но я так уже записана поэтому не надо,2.0
аптека если меня сейчас дети не надо,2.0
у вас активирован режим отключения микрофона пожалуйста попробуйте записать еще раз,1.0
да удобно говорю,1.0
да забра мы же неделя буны ил,4.0
датсун сейчас,1.0
вы знаете я сейчас во 1 мне неудобно разговаривать 2 ничто не интересует данным,2.0
девушка неудобно нахожусь на вахте да,2.0
ну значит телефон просто да вам нужно,4.0
даэт на днях мы же завтра,1.0
так да он приедет,4.0
да здравствуйте алло алло здравствуйте,1.0
девушка ну пока ничего не интересует,2.0
водить это растой произнос да,1.0
не не девушка извините вы не да позвонили,4.0
подождите вы только скажите куда и как мне отсылать мы не знаем а сына сейчас дома нет,4.0
она считала а сейчас еще я да,1.0
ну вы куда звоните вообще какое частный номер,1.0
какая цена,1.0
говорю мне удобно,1.0
что еще раз алло я вас не слышу,4.0
мне сейчас некогда вы до этого не звонили,2.0
пека да,2.0
догада алло,4.0
скажите пожалуйста откуда у вас мы номер сотового телефона,4.0
а банке открытие вроде у меня есть хочет ничего уже открывал я ж вам приезжал,1.0
в принесли немного то да,4.0
сейчас скажи я теда н**** н**** б**,2.0
когда вы пожалуйста,4.0
здравствуйте вы представьтесь пожал,4.0
индапамид санто есть,1.0
ой девушка спасибо не надо в,2.0
ну в курсе нам ничего наверное не надо,2.0
fil да,4.0
магазин закрыт я лично работаю да,1.0
я ничего вас не слышно алло,4.0
способы давайте,4.0
да завтра я,1.0
знаете как свяжитесь минуту подождите у тани какой номер,1.0
спасибо какой сейчас артека магазин или что когда я в карантине,2.0
я на работе пока не могу да,2.0
я знаю что ничего не увеличат я знаю что ничего не увеличат,4.0
алена але,4.0
ага а да,1.0
извините пожалуйста я сейчас на работе да,2.0
нет нет спасибо совсем интересно,2.0
бронирование на нашем сайте тройной дабл ю да,1.0
сейчас да то есть,1.0
ну в смысле просто посмотреть сотрудничества как бы нет,2.0
да вашем да,1.0
сообщение о всегда,1.0
ой побыстрее только что вы так медан растягивается что что что нужно отменять,2.0
да сейчас минут,1.0
каких организаций по поводу чего каких организаций по поводу чего,4.0
что делаем,4.0
если звук во высы нала с чем завершить запас по ведомыми и написи ть клавишу таки ничего не выкак,4.0
а да бумажными,1.0
нет спасибо у меня пенсия хороший мне никто ничего не будет прибавлять спасибо,1.0
спасибо на 1 время я закрыла крестьянское хозяйство мне ничего не надо,2.0
кинуть на телефон да,4.0
я сегодня его проблем,4.0
ок являюсь что да,1.0
нет завтра на завтра зарплата я завтра заплатил,4.0
так индопомит санта нету а есть индопомит польша,2.0
матема да,1.0
вы извините в данный момент меня нет,2.0
потому скажи да,3.0
если не долго туда алло,1.0
соединение со специалистом оставайтесь пожалуйста на линии оператор ответит вам более очень интере,2.0
я благодарю вас но я пока не нуждаюсь ни каких услугах,2.0
угу я заказывал их давайте я номер ваш запишу если что,1.0
откуда вы взяли этот номер телефона,2.0
в честь чего это почему зачем,4.0
так вопрос да,1.0
не надо надо,2.0
я не знаю я да,4.0
алло вы робот либо или оператор,1.0
да еслизавтра заберу,4.0
погода пока да,1.0
санкт петерб да,1.0
алло ало добрый день дадерко еще раз можно,1.0
другой звонок да,1.0
ну да почти,1.0
желания нет,2.0
какой доктор б**** дела что хорош какой доктор блять дела что хорош,2.0
мне куда не нужно,2.0
что не надо пока спасибо,2.0
вам сколько упаковок алло,4.0
неправильно неправильно,4.0
пекарня да,1.0
я не готов,2.0
если по укажет туда,1.0
амет спасибо не надо,2.0
нет спасибо до свидания пожалуйста оставайтесь на линии ваш разговор скоро будет,2.0
магазин еще раз как называется магазин,1.0
дай день,4.0
ой ну вообще то не закрыт но может быть даже продлю,1.0
да мы не пришла смска я в субботу заберу,1.0
ну сейчас пока нет,2.0
для связи с абонентом наберите его номер в тоновом режиме либо да,1.0
а кто мой телефон да,2.0
мода мода,4.0
я помню что полоса пообщался как то с вами да то есть,4.0
я на даче я на даче,4.0
спасибо большое спасибо ничего не надо,2.0
а говорит,4.0
да актуально да актуально,1.0
еще раз скажите еще раз алло,4.0
а причем здесь ваше метро вы ничего мне звонить,2.0
чего получить алло,1.0
не извините пожалуйста я на работе мне сейчас некогда,2.0
и клиент да почему нет,1.0
тетя алло,4.0
крем купили есть романное спасибо ничего не нужно,2.0
смотреть сериал до 4 часов я в лесу провокацию и все,4.0
на какое сообщение на какое сообщение,4.0
нет удалите пожалуйста мой номер из своей базы,2.0
адресован на голосовой почтовый ящик можете оставить сообщение после всегда,2.0
что посмотреть посмотри тригрим 5 миллиграмм 2655 30 лет,4.0
а вы вообще куда звоните алло,4.0
не надо его наших,2.0
боты да,1.0
что ты там будешь да,1.0
это вы не позвонили это магазин а вам нужно завод,2.0
да скоре все,1.0
не сейчас в принципе да,1.0
не поняла ну да,1.0
вы это сказано да для службы безопасности то вы,1.0
нет вы куда,2.0
выглядит моложе то этот наметет для вас обязательно приходите да,1.0
я не знаю это вам человек сейчас потратим вопросом занимается нет это вам,3.0
что повторить что повторить,4.0
я ничего не понимаю что говорите,1.0
робот алло надежда,3.0
121 это кредит + получается да,1.0
извини я ничего об этом не знаю все свои пыти отправляйте на сайт к нам,4.0
нет интересно государство все пересчитать,2.0
далеко мне еще да,4.0
я это да,1.0
ну абонент по номеру 9 8 6 не имеет доступа к данных,2.0
куки да,4.0
да мне вот сука,2.0
а артек да да я ничего не,2.0
не надо мне надо,2.0
да там есть бардачке там есть бардачке,1.0
сиба но я хотел бы знать что,1.0
сейчас некогда с вами разговаривать я звонят извините реклама,1.0
так плохо слышно что я ничего не поняла,4.0
сейчас не очень удобно дав,2.0
где да,4.0
о чем дальше алло,4.0
я сейчас не на работу вышла через 20 минут,2.0
я понял процентом какие заплатят надо,3.0
ну прогревать это на бу продается там секта 1 слиток чтобы продлить сейчас,4.0
на пятерочку пять,4.0
еще раз еще раз не понял как как,1.0
у когда,1.0
я удобно,1.0
если только быстро надежда,2.0
нет не звоните сюда больше нет не звоните сюда больше,2.0
помнишь да да,1.0
еще раз пожалуйста можете повторить,1.0
мне сейчас некогда вот слушать предложение вы могли бы оставить на почту либо вотчап к этому номеру,2.0
90000 подает на карту да да,4.0
девушка не надо ничего пока рассчитывает спасибо,2.0
какие холодильники горячего выражения алло какие холодильники горячего выражения алло,4.0
сейчас я тут меня народа много я на заводе сейчас винте,1.0
давайте я на это в машине еду,2.0
и пока нет,2.0
сейчас андрей нет,2.0
я уже древний мне не надо я уже древний мне не надо,2.0
ну давайте ведите поговорим,4.0
я вам уже говорила я ничего не заказывала я вам уже говорила я ничего не заказывала,2.0
а я то понял я все заходит,1.0
удаленно работа удаленно работа,4.0
новая почта то туда куда вы отправляли,4.0
к сожалению у меня сейчас отсутствуют средства на приобретение чего либо потому что,4.0
а спасибо нам не надо,2.0
на всякий случай да,1.0
спасибо пока говорю нет,2.0
ну не очень перезвоните,2.0
на то видели на то видели,4.0
не спасибо не надо не спасибо не надо,2.0
что еще раз еще раз вопрос,4.0
получается или как получается или как,4.0
ну да я вас слушаю,1.0
пока отказывается пока отказывается,2.0
а заказ уже есть да восемь то заберу,1.0
я пока ничего не могу вам сказать я через неделю хочется этим заниматься потом,1.0
какую заявку,1.0
я сейчас на работе извините пожалуйста но мне пока не надо,2.0
верь заговорю слушаю,1.0
сотрудничаю,4.0
хочу мне сейчас пока ничего не нужно,2.0
а это вообще кто это откуда вы а это вообще кто это откуда вы,4.0
так сначала что было в города алло,4.0
да не интересует,2.0
ой а мне некогда не разговарива,2.0
лябинск,4.0
11 или на сайт алло инкогнито точка ру на сайте нашей компании доступны для подключения сот,1.0
по такие умные на маму,4.0
ну можно попробовать да,1.0
и добрый постараюсь дяка,1.0
человек оставивший вам этот номер телефона не хочет с вами общаться до свидания,2.0
слушайте ну это,4.0
старлайн приветствует вас угадайте пароль,1.0
перезвоните мне я подумаю,1.0
здравствуйте меня зовут анатолий кто вам дал мой номер телефона,2.0
бутик отель да,1.0
а мне сейчас не нравится,2.0
да но я думаю это нереально да но я думаю это нереально,4.0
вам это зачем,4.0
сегодня да вы меня извините меня 1 раз такое я просто карточку у них нет,1.0
мне пока ничего не нужно у вас спасибо вам за внимание все,2.0
за рулем да,2.0
а я вас не слышу просто а я вас не слышу просто,4.0
мы о вас да,1.0
мышь да,4.0
ну ка давай,1.0
а да вот,1.0
вы позвонили в компанию автодон то официальный дилер bmw пожалуйста еще раз наберите мне,4.0
ну если артека тула да и нет,1.0
так минуточку да,4.0
девушка от аппарата искус да,4.0
на вопрос звонить на личный номер а не компанию,2.0
нет нет спасибо не нуждаемся нет нет спасибо не нуждаемся,2.0
о да давай,1.0
слушайте не ватал,1.0
еще чего еще чего,2.0
1 государства не прошла,4.0
ладно ничего вашем доме ставил домофон то что это значит,4.0
эй але,4.0
сегодня алло вы меня слышите,1.0
ну мы сцены не будет снижать,4.0
а каких салонах не слышу алло,1.0
полным нет,4.0
не понял ничего не девушка алло,4.0
а да здравствуйте если он,1.0
роди мне ничего не нужно зачем мне алло,2.0
нет мы в принце ничего такого не делаем,2.0
я ничего не заказывала на новую почту я ничего не заказывала на новую почту,2.0
спасибо голубушка да нет,4.0
спасибо не нуждаюсь пока спасибо не нуждаюсь пока,2.0
ну не знаю года,2.0
алиса а сколько будет стоить километр тогда да,1.0
пожалуйста подождите the subscriber you have dialed is bsy now please hal the line ок,2.0
да я постараюсь во 2 половине на,1.0
здравствуйте вами говорит котович перезвоните нам пожалуйста спасибо за звонок,1.0
с*** да конечно,2.0
то есть я работаю на ип на кого то меня социально продоуса,1.0
еще раз прости не слышал,2.0
и кто не надо мне звонить по всем телефоном я вам сказал только что,2.0
я вот сейчас вот зато слышите все шкворчит мне неудобно это во 1 во 2 я не смогу сейчас ничего купить потому что,2.0
нет не интересно,2.0
я малина да,4.0
что так еще раз алло,4.0
я бы сказал тоже нет,2.0
не знаю буду стараться дальнейшем времени,2.0
нет частично сумму,2.0
двена пять,4.0
прав чего,1.0
буду проливать сегодня мы говорим вчера сегодня меня не получилось,4.0
вы знаете мне там пока что ничего не нужно салонах спасибо до свидания,2.0
спасибо мне ничего этого не надо,2.0
какая сумма там алло,4.0
ну не совсем вопрос или наверное нет,2.0
я уже заказал по моему по инстаграму да,1.0
ну скорее всего 1 раз в месяц ну скорее всего один раз в месяц,4.0
да да да я слышала алло,1.0
у меня есть своя фирма артека я все время туда обращаюсь постоянно спасибо,2.0
да у нас еще,1.0
девушка я приходил насчет кредита,1.0
пока даже в голове не могу что спросить,4.0
ну я вообще то трамвае еду как бы мне пока ничего не ну,2.0
да работа да да работа да,1.0
я тоже ничего не слышу,4.0
все город ожидаю,1.0
але але я вас не слышу,2.0
добрый день да алло иша мне,4.0
секунду следующий труб подам секунду следующий труб подам,4.0
всегда приятно слушаю,1.0
побыстрее давайте что вам,1.0
да не деш,4.0
чего ау,3.0
возможно попозже,2.0
скажите пожалуйста,4.0
прием разве не указано мое имя,2.0
на 50000 да,4.0
загадай алле,4.0
мне да да,1.0
когда планируют,1.0
ну можно было да узнать,1.0
наталья это вы откуда наталья это вы откуда,4.0
о чем молодой человек,4.0
так мне ничего не надо никаких консультаций,2.0
а а да что вы хотел,1.0
я верно могу связаться с оператором я верно могу связаться с оператором,3.0
спасибо я очень далеко и порядке буду чем то пользоваться извините до свидания,1.0
интересно конечно я интересно конечно я,1.0
все до свидания меня больше не надо,2.0
повторите какую консультацию,1.0
а что такое да,3.0
вы механический голос или человек,3.0
я здесь не гражданин киргизии,4.0
ну конечно интересно кто мне не спать все семнадцать тысяч что мне надо еще чуть,1.0
переводите давайте,1.0
ну если что да,1.0
я не поняла еще повторите вы здесь я плохая я не поняла еще повторите вы здесь я плохая,2.0
1 секунда,1.0
ну мне в принципе вы какие то предложения будете делать да,1.0
подождите вон больше не ответила сейчас скажу,2.0
да мы пиши он попеско забрать да мы пиши он попеско забрать,4.0
не очень другой раз когда,2.0
пока неудобно я с похорон попаду для чего,2.0
да я сегодня решу,1.0
наберите его в тональном режиме или да,1.0
конечно конечно всегда вас сервис самый лучший сколько лет я у вас обслуживают,1.0
стража 2 бывает 3 стража два бывает три,4.0
а можете мне на эти интерну почту скинуть данную информацию я за рулем еду,3.0
ну напишите да,1.0
я ничего не слышу кто вы алло,2.0
и где где да да,1.0
я вот автоматически да,1.0
ночи да,4.0
выключи текущее время 14:58 да,4.0
да да подаю да подаю,1.0
а я ни на какую тему не хочу говорить вообще меня,2.0
туту,2.0
вы знаете это мама взяла ет телефон дочери я так что перезвоните позже,4.0
четвертый да,1.0
да мне удобно,1.0
сейчас надо мной ничего не расматриваю,2.0
да нужна да нужна,1.0
вы наверное перезвоните руководителю,1.0
я еще не могу ничего сказать у меня конкретно вот сейчас результаты нету но в любом случае,2.0
потому что мы уже купили квартиру,4.0
давай день алло,4.0
а да это какой,1.0
и да не на,1.0
ну я ознакомлюсь на сайтом спасибо что сказали сейчас даже посмотрю ну я ознакомлюсь на сайтом спасибо что сказали сейчас даже посмотрю,4.0
неудобно говорить спасибо не надо,2.0
а нет ничего,2.0
а извините еще раз эта компания,4.0
о не знаете какая да,4.0
дамир здравствуйте,1.0
да мне это интересно мне подъехать к департаменту,1.0
понравилось хороший,1.0
да на этот вопрос алло,1.0
я вообще не понимаю что что только что что происходит с кем работать что работает,1.0
а что надо девушка мне не надо,2.0
собственно не нуждаемся этой услуге,2.0
да я на раб,2.0
а да говори,1.0
да должен быть,1.0
ну поговорю немножко слушаю,1.0
вы куда звоните это магазин даулет,1.0
я являюсь пенсионерам до свидания,1.0
так объясните мне пожалуйста как я могу вчера жить позавчера заплатить в кредита,4.0
безенчук,1.0
ну вы не совсем что мне вот аптеки пока ничего не нужно,2.0
да не интересн,2.0
надежда добрый день спасибо большое ортопедические проблемы у нас решены спасибо за звонок до свидания извините,2.0
что да да да да,1.0
не работает сразу,2.0
я сама заберем только уже не гостиниц,4.0
ну сейчас я просто зарою мне надобно,4.0
связаться с оператором связаться с оператором,3.0
сегодня завтра никаких закорд,1.0
ну да напротив ам пару деев,4.0
давай отправляй мне,1.0
скажите пожалуйста как от чего вы занимаетесь алло,1.0
три года я уже им не пользуюсь три года он не работает и тудаже трубку уже сняли,2.0
ало я куда попала ало я куда попала,4.0
девушка побыстрее да,1.0
сегодня я бы продолжите бы поносит полнит рада только мне здеся,1.0
девушка я знаю этот аптека я была мне пока ничего не нужно нет,2.0
да пора,1.0
так еще раз что,4.0
да я твоя новая машина почаще orangemotors,4.0
алиса что ничего не надо,2.0
она сейчас в киеве приеду тогда,4.0
а а знаешь,4.0
угу угу угу давай,1.0
что что еще раз повторите пожалуйста что что еще раз повторите пожалуйста,4.0
я сейчас очень далеко от сейчас не могу,2.0
по мне да слушаю,1.0
еще раз какое какое население,4.0
ага еще не знаю ситуации краине или можно вам дарит повиси,1.0
так говорите да,1.0
девушка в другом городе живем а когда у вас покупали вашей аптеки мы были в гостях,1.0
где это дальний кордон у меня,1.0
ну меня очень мало времени побыстрее если можно что то сказать да,1.0
ну хотелось бы,3.0
да собственник вы откуда взялись номер моего телефона,1.0
бы мы могли вас купить а все остальное как бы нормально так что извините спасибо,4.0
да можно было узнать,1.0
мне спасибо не надо ничего,2.0
города звоните,1.0
еще раз сейчас подождите я просто,4.0
нет а вы что делаете а только квартиры а стройкой нету да,2.0
а что поверила да который,1.0
что стучит,4.0
ну изредка да,4.0
своего производства,3.0
смотри таких условиях,1.0
а а еще раз повторите,1.0
вы знаете я сейчас отдыхаю даже нет,2.0
давайте можно да,1.0
нет не надо мне спасибо,1.0
если ставка фиксирована не,4.0
дома эти да,1.0
через 3 дня я думаю да,1.0
когда смогу забрать наверное сегодня или завтра то е,1.0
еще раз пожалуйста плохо слышно алло,4.0
сейчас тут не надо,2.0
спасибо я ничего брать не буду гольфы которые когда то покупал,2.0
понимаете что я не гражданин российской федерации,2.0
запишите пожалуйста,1.0
ну не очень вы знаете мне в принципе ничего не надо,2.0
сон сон да,1.0
да сегодня же,1.0
ну хорошо да,1.0
мы я за рулем но я сейчас остановлюсь поэтому да,1.0
по указу президента х**** туда это самое по указу президента хуйне туда это самое,2.0
дальше направление,1.0
а время для записи,1.0
я сейчас пока не интересует это надежда спасибо,2.0
спасибо но нам ничего нет,2.0
то что да,1.0
предложение очень интересно,1.0
ничего не слышно алло алло,1.0
а вообще вы откуда звоните я прослушала а вообще вы откуда звоните я прослушала,4.0
12 9 ничего,4.0
а а сколько там мне 2000 да,4.0
вы знаете я нахожусь на даче поэтому мне сейчас вашей информации,2.0
а вы откуда телефон взяли номер телефончика,1.0
о не не не не спасибо,1.0
я на данный момент нахожусь в отпуске по уходу за ребенком у меня нет,2.0
а ленинградская область,1.0
не греет,2.0
заявка это память которая простой да самая,1.0
мне неудобно до свидания у меня ноги сами ходят по есть,2.0
еще раз будет звонить запомни я тето выру,2.0
подожди не включай такие теле артек,1.0
услышала я не знаю я менеджером ководство не знаю красноярске туда звоните,1.0
спасибо надежда нет,2.0
даже не да знаю сколько не подключен все,4.0
четыре,4.0
а что мне нужно ответить да,1.0
безусловно безусловно,1.0
давай здравствуйте,1.0
а по другому никак нельзя алло,4.0
номер больше не обслуживается повторяем ценный номер больше не обслуживается,4.0
ну честно говоря не очень да,2.0
можем купить карточка тоже есть вот откуда пойду,4.0
не знаю ма але,4.0
приведите ча приведите ча,4.0
нет не сейчас можно перезвонить будет попозже душка,1.0
ой не да,4.0
извините прошу прощения но вы просто не туда позвонили вы позвонили в магазин у нас,2.0
ничего не над,2.0
ну на пять,4.0
неудобно давайте завтра позвоните с утра девять часов,2.0
вот пока на данную секунду нет,1.0
все сколько у вас услуги стоит,1.0
да все получали то есть все стили мы сейчас подсчитываем сколько нам нужно по хозяйственных,4.0
ну я лучше в пенсионный фонд обращусь и узнаю все так не,4.0
в тональном режиме нужно вам да,1.0
здравствуйте слышно,1.0
миасс челябинская область,1.0
да я сегодня была там сердца не было не могу,2.0
ну планировала и вообще планировала я на август но я не знаю я бы хотела кудать моторс,1.0
нажмите звездочку или дождитесь ответа оператора нажмите звездочку или дождитесь ответа оператора,2.0
а что вы можете предложить,4.0
чего евы каком чего евы каком,4.0
моя деятельность нуждается в расчетном счете,4.0
какой промокод да,1.0
интересует информация по графику и окладу,4.0
да есть алло,1.0
да да я хочу взять отсрочку я только не знаю как это здесь,2.0
да я сейчас еще,4.0
не планируем,2.0
и номер нужного вам абонента или ноль для вызова отдела продаж два сервис,4.0
а на эти отделение именно чернеча слобода да а на эти отделение именно чернеча слобода да,4.0
как как повторите пожалуйста 666,4.0
не не да нужны,1.0
с московским филиалом нажмите один если с сериалом города красноярска нажмите два,4.0
да нет пока,2.0
победу мне верить правда,2.0
из центра надо до дайте номер на который вы звоните сейчас не сети,3.0
кто вы такая же я все рассказывал зачем мне это надо я что не могу понять,4.0
откуда звоните года алло,1.0
сейчас удобно разговаривать да,1.0
вы аптека артека да,1.0
я знаете да,1.0
плохо слышно плохо слышно,4.0
меня извините мне не надо,2.0
ой ну меня сейчас не надо,2.0
давайте я не слышу сейчас говорите это,2.0
ой девушка я этим не занимаюсь да,2.0
ну минуту могу отдать если не боли,1.0
121 не знаю,4.0
говаривали поставил вызов на удержание пожалуйста подождите the subscriber you have dil usb,4.0
да понравилось,1.0
обедать то,4.0
ато ато,4.0
нет не нужно,2.0
некогда я за рулем е отправьте потом разберусь некогда я за рулем е отправьте потом разберусь,3.0
юлия поставил вызов на удержание пожалуйста подождите the subscriber you have dialed is b,2.0
попозже хорошо через часи перезвоните,1.0
повторите препарат алло,4.0
ты ко мне да,1.0
а всего если успеет сегодня я другой город быть если успеть тогда завтра,1.0
возможность возможность,4.0
он чего хорошо,1.0
чего повтори,1.0
ухты да,1.0
так что как узнать куда,1.0
ну вообще коре да,2.0
а в новом районе,4.0
да не не надо мы сами то приедем хорошо,1.0
ну в данный момент нет может быть попозже сейчас,2.0
ну там не указанный адрес электронной,1.0
а давайте я дам телефон главного инженера вот специально обычного человека отлично,4.0
откуда вы взяли мой телефон,2.0
16 повторить алло,4.0
кольцевой в питере перезвоните,4.0
да не не интересует извини девушка,2.0
а ты что ты можешь да,2.0
алиса 600,4.0
да ваще,3.0
так а скажите пожалуйста а вот если меня по карте максимальная скидка там 15,1.0
вы о чем вообще хотите вы уже несколько дней звонить я не могу понять по поводу чего,4.0
добрый день не на данном этапе,2.0
еще не уверен,3.0
дай завтра,1.0
сейчас подождите минуту сейчас подождите минуту,1.0
ну да конечно алло,1.0
мне перезвоните мне,4.0
кто да банк,4.0
кафе сейчас зарплата просто не дают,4.0
сделаем картинками,1.0
в данный перед времени нет,2.0
да я слушаю вас да да да алло,1.0
ну она проверена меня есть машина на мне числится так что это не правда,1.0
скажите а где вы находитесь,4.0
да только перезвоните пока некогда мне,1.0
давайте только побыстрому алло,1.0
да другой пользователь,1.0
здравствуйте человеческие да,1.0
а мне ничего не нужно спасибо большое,2.0
а куда звонить,4.0
мы торт не делаем,2.0
просто у нас нет,4.0
в москву ничего не будем,4.0
ну в принципе дата сейчас у меня совершенно нет времени я,2.0
не очень перезвоните,2.0
есть сайт перечислите да с опера,2.0
какой планшет ну про у меня есть даже планшет и что какой планшет ну про у меня есть даже планшет и что,4.0
да согласен да да,1.0
заебала каждый день да,2.0
расскажите конечно расскажите конечно,1.0
чера конце да,2.0
ой зультате сейчас да,1.0
давайте я подумаю вам лучше надо номер перезвонить там не готов тоже ответить,2.0
да я вас слыша,1.0
я не понял вы что представляете еще раз алло,4.0
перезвоните плохо су,4.0
что ты еще раз позвонишь те его суббота,2.0
н**** дома рабом время да,2.0
а але я слушаю вас,4.0
а меня от вас ничего нет,2.0
алло я вас не слышу алло,1.0
ну говорите если не долго,1.0
пенсионер это имеет значение алло,4.0
че евно да что ли,4.0
подождите я у вас тоже спрашиваю просто форте,4.0
чего алло что влечет,1.0
а можно мне повторную смсочку,3.0
да и че,1.0
давайте я вам перезвоню еще занята давайте я вам перезвоню еще занята,1.0
так ну и чего вы хотите говорите,2.0
да да продаю алло алло,1.0
3 89 39 извините селении в данный момен,2.0
да мне тоже звонили насчет этого да мне тоже звонили насчет этого,1.0
на данный момент мне пока не интересно,2.0
а ну давайте я послушаю а ты мне уже а что вы хотели,4.0
чего она сказала чего она сказала,4.0
кондиционер все давай завтра,4.0
он да,1.0
да не заказ до свидания,2.0
это вы откуда это звоните да вам надо денежку стать,1.0
в каком смысле почему ну потому что меня это не интересует,2.0
тебе перезвоню на работе да,1.0
ой давайте не сейчас давайте не сейчас я просто сейчас не могу об этом говор,2.0
это не мне да,2.0
давай я скажу иди ты на х** давай я скажу иди ты на хуй,2.0
предлагает да нет,2.0
я сейчас с вами да,1.0
нам приди лисой товар,4.0
покажи мне да ну цифра 3 может быть,2.0
моя клинит истории проверно и мы желаете получить да,1.0
алиса города я слушаю,4.0
я смогу в течение дня да,1.0
пока не дает,1.0
продажа идет печенье так что не занимаемся артами,2.0
нет не надо мне кредит,2.0
наполеона да,1.0
а если продлить сколько надо,1.0
здесь ответа оператора поменяет каспер компания знакомы рауша,4.0
