N,1. Field name,2. Reservoir unit,3. Country,4. Region,5. Basin name,6. Tectonic regime,7. Latitude,8. Longitude,9. Operator company,10. Onshore or offshore,11. Hydrocarbon type (main),12. Reservoir status (current),13. Structural setting,14. Depth (top reservoir ft TVD),15. Reservoir period,16. Lithology (main),17. Thickness (gross average ft),18. Thickness (net pay average ft),19. Porosity (matrix average %),20. Permeability (air average mD)
192,CASHIRIARI,VIIVIAN,PERU,LATIN AMERICA,UCAYALI,COMPRESSION,-12.1667,-72.75,PLUSPETROL,ONSHORE,GAS-CONDENSATE,UNDEVELOPED,THRUST,6150,CRETACEOUS,SANDSTONE,245.0,210.0,13.0,1000.0
193,CASPER CREEK SOUTH,TENSLEEP,USA,NORTH AMERICA,WIND RIVER,COMPRESSION,42.64,-106.84,CITATION OIL and GAS,ONSHORE,OIL,MATURE PRODUCTION,THRUST/FORELAND,2300,CARBONIFEROUS,SANDSTONE,300.0,120.0,21.0,650.0
196,CAVE GULCH,LANCE-FORT UNION,USA,NORTH AMERICA,WIND RIVER,COMPRESSION,42.98,-106.87,WILLIAMS,ONSHORE,GAS,DECLINING PRODUCTION,SUB-THRUST/FORELAND,4800,CRETACEOUS-PALEOGENE,SANDSTONE,4600.0,550.0,17.0,3.0
198,CAZAUX,SERIE MARNEUSE,FRANCE,EUROPE,AQUITAINE,COMPRESSION/EROSION,44.5407,-1.182,EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,FORELAND/RIFT,7333,CRETACEOUS,SANDSTONE,200.0,66.0,18.0,200.0
203,CHAIVO-MORE,LOWER NUTOVO (XIV),RUSSIA,FORMER SOVIET UNION,NORTH SAKHALIN,STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,52.5467,143.4583,EXXONMOBIL,OFFSHORE,OIL,UNDEVELOPED,INVERSION/WRENCH,6122,NEOGENE,SANDSTONE,346.0,102.0,23.0,100.0
204,CHAIVO-MORE,LOWER NUTOVO (XVI),RUSSIA,FORMER SOVIET UNION,NORTH SAKHALIN,STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,52.5467,143.4583,EXXONMOBIL,OFFSHORE,GAS-CONDENSATE,UNDEVELOPED,INVERSION/WRENCH,6794,NEOGENE,SANDSTONE,290.0,148.0,23.0,100.0
206,CHALYBEAT SPRINGS,SMACKOVER,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,33.0456,-93.0971,BP,ONSHORE,OIL,NEARLY DEPLETED,SALT/PASSIVE MARGIN,10040,JURASSIC,LIMESTONE,75.0,27.0,12.0,200.0
209,CHATEAURENARD,CHATEAURENARD,FRANCE,EUROPE,PARIS,EXTENSION,47.9903,2.9619,MADISON /CHART,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,1860,CRETACEOUS,SANDSTONE,28.0,15.0,27.0,1000.0
210,CHATEAURENARD,GRISELLES,FRANCE,EUROPE,PARIS,EXTENSION,47.9903,2.9619,MADISON /CHART,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,1975,CRETACEOUS,SANDSTONE,20.0,7.0,27.0,1000.0
211,CHAUNOY,CHAUNOY,FRANCE,EUROPE,PARIS,EXTENSION,48.5687,2.8034,ESSOREP,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,7356,TRIASSIC,SANDSTONE,217.0,82.0,13.0,130.0
212,CHELEKEN,RED SERIES,TURKMENISTAN,FORMER SOVIET UNION,CASPIAN SOUTH,COMPRESSION/EVAPORITE/EXTENSION/LINKED,39.58,53.13,TURKMENNEFT,ONSHORE-OFFSHORE,OIL,MATURE PRODUCTION,THRUST,1800,NEOGENE,SANDSTONE,7500.0,190.0,19.0,30.0
213,CHENGDAO,GUANTAO,CHINA,FAR EAST,BOHAI,EXTENSION,38.173,118.8465,SINOPEC,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT,3940,NEOGENE,SANDSTONE,945.0,236.0,33.8,2529.0
216,CHINGUETTI,CHINGUETTI,MAURITANIA,AFRICA,MAURITANIAN SALT,EVAPORITE/INVERSION/COMPRESSION/EXTENSION,17.73,-17.59,WOODSIDE ENERGY,OFFSHORE,OIL,DEVELOPING,PASSIVE MARGIN,3900,NEOGENE,SANDSTONE,820.0,125.0,27.0,2000.0
218,CINTA,TALANG AKAR (ZONE 3),INDONESIA,FAR EAST,SUNDA,INVERSION/STRIKE-SLIP/TRANSPRESSION/EXTENSION/BASEMENT-I,-5.4397,106.2639,REPSOL YPF,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/BACKARC,2880,PALEOGENE,SANDSTONE,200.0,65.0,18.0,505.0
222,CLIPPER,LEMAN SANDSTONE,UK,EUROPE,NORTH SEA SOUTHERN,INVERSION/COMPRESSION/EXTENSION/EVAPORITE/GRAVITY,53.4682,1.7338,SHELL,OFFSHORE,GAS,DECLINING PRODUCTION,SUB-SALT/INVERSION,7420,PERMIAN,SANDSTONE,715.0,580.0,11.0,0.5
223,CLYDE,FULMAR,UK,EUROPE,NORTH SEA CENTRAL,GRAVITY/EVAPORITE/EXTENSION,56.45,2.2833,TALISMAN,OFFSHORE,OIL,NEARLY DEPLETED,SALT/RIFT,11787,JURASSIC,THINLY-BEDDED SANDSTONE,650.0,390.0,20.0,350.0
224,COALINGA,TEMBLOR,USA,NORTH AMERICA,SAN JOAQUIN,COMPRESSION/STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,36.2674,-120.3659,CHEVRON AND OTHERS,ONSHORE,OIL,MATURE PRODUCTION,WRENCH/FOREARC,500,NEOGENE,SHALY SANDSTONE,700.0,190.0,34.0,850.0
231,CORMORANT,BRENT,UK,EUROPE,NORTH SEA NORTHERN,,61.1286,1.1066,SHELL,OFFSHORE,OIL,NEARLY DEPLETED,RIFT,7700,JURASSIC,SANDSTONE,300.0,225.0,,500.0
232,COTTONWOOD CREEK,PHOSPHORIA (ERVAY),USA,NORTH AMERICA,BIG HORN,COMPRESSION/EROSION,44.038999999999994,-107.74799999999999,BP,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,4700,PERMIAN,DOLOMITE,65.0,21.0,8.0,0.5
233,COUNTESS,UPPER MANNVILLE (YY POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION/EROSION,50.6174,-112.2057,ENCANA,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,3347,CRETACEOUS,SANDSTONE,62.5,18.0,26.0,2500.0
234,CRYSTAL (CANADA),VIKING (A POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION/EROSION,52.9506,-114.429,WESTCOAST PETROLEUM,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,5840,CRETACEOUS,SANDSTONE,32.0,30.0,10.5,200.0
235,CRYSTAL (USA),DUNDEE,USA,NORTH AMERICA,MICHIGAN,STRIKE-SLIP/TRANSPRESSION,43.2827,-84.8716,CRONUS DEVELOPMENT,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,3180,DEVONIAN,DOLOMITE,100.0,26.0,10.0,3.0
236,CUSIANA,MIRADOR,COLOMBIA,LATIN AMERICA,LLANOS,COMPRESSION/SHALE,5.0299,-72.6719,BP AND OTHERS,ONSHORE,OIL,DECLINING PRODUCTION,THRUST/SUB-THRUST/FORELAND,13000,PALEOGENE,SANDSTONE,400.0,200.0,9.0,100.0
237,CUT BANK,CUT BANK SANDSTONE,USA,NORTH AMERICA,WESTERN CANADA,,48.8208,-112.2007,MONTANA POWER COMPANY,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2100,CRETACEOUS,SANDSTONE,47.0,16.0,,110.0
239,CYMRIC,TULARE,USA,NORTH AMERICA,SAN JOAQUIN,COMPRESSION/STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,35.3826,-119.708,CHEVRON /PXP,ONSHORE,OIL,DECLINING PRODUCTION,WRENCH,1000,NEOGENE,SANDSTONE,600.0,200.0,35.0,3000.0
241,DAN,CHALK GROUP (TOR-EKOFISK),DENMARK,EUROPE,NORTH SEA CENTRAL,INVERSION/COMPRESSION/EXTENSION/EVAPORITE,55.4696,5.13375,MAERSK,OFFSHORE,OIL,PLATEAU PRODUCTION,SALT/INVERSION/RIFT,5560,CRETACEOUS-PALEOGENE,CHALK,500.0,160.0,28.0,1.75
242,DAQING (LAMADIAN),SAERTU-PUTAOHUA-GAOTAIZI,CHINA,FAR EAST,SONGLIAO,INVERSION/COMPRESSION/EXTENSION,46.7167,124.8333,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION/RIFT,2734,CRETACEOUS,THINLY-BEDDED SANDSTONE,600.0,100.0,26.0,1500.0
245,DAULETABAD-DONMEZ,SHATLYK,TURKMENISTAN,FORMER SOVIET UNION,AMU DARYA,,36.4381,61.6544,TURKMENROSGAZ,ONSHORE,GAS,PLATEAU PRODUCTION,INTRACRATONIC,9350,CRETACEOUS,SANDSTONE,66.0,46.0,,350.0
246,DEFA,WAHA-DEFA,LIBYA,AFRICA,SIRT,EXTENSION/INVERSION,28.0781,19.915,LNOC,ONSHORE,OIL,UNKNOWN,RIFT,5193,CRETACEOUS-PALEOGENE,LIMESTONE,860.0,210.0,20.0,20.0
247,DELTA SOUTH,AGBADA (G2 SAND),NIGERIA,AFRICA,NIGER DELTA,GRAVITY/EXTENSION/SHALE,5.6139,5.1018,CHEVRON,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/PASSIVE MARGIN,7985,NEOGENE,SANDSTONE,66.0,50.0,28.0,2000.0
248,DELTA SOUTH,AGBADA (G3 SAND),NIGERIA,AFRICA,NIGER DELTA,GRAVITY/EXTENSION/SHALE,5.6139,5.1018,CHEVRON,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/PASSIVE MARGIN,8215,NEOGENE,SANDSTONE,130.0,90.0,26.5,2000.0
251,DINEH-BI-KEYAH,UNNAMED,USA,NORTH AMERICA,DEFIANCE UPLIFT,UPLIFT/BASEMENT-I,36.4773,-109.1404,KERR-MCGEE /HUMBLE,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,2800,PALEOGENE,VOLCANICS,95.0,80.0,10.0,0.5
252,DJARKUDUK,KYZYLTASH,AFGHANISTAN,FAR EAST,AMU DARYA,COMPRESSION/EVAPORITE,36.6167,65.7,AFGHANGAS,ONSHORE,GAS,REJUVENATING,INTRACRATONIC,6560,CRETACEOUS,SANDSTONE,450.0,89.0,23.0,214.0
253,DJEITUN,RED SERIES,TURKMENISTAN,FORMER SOVIET UNION,CASPIAN SOUTH,COMPRESSION/EVAPORITE/EXTENSION/LINKED,39.58,52.83,DRAGON OIL,OFFSHORE,OIL,DEVELOPING,THRUST,7550,NEOGENE,SANDSTONE,10500.0,80.0,17.0,22.0
256,DONGFANG 1-1,YINGGEHAI,CHINA,FAR EAST,YINGGEHAI,TRANSTENSION/EXTENSION/SHALE/LINKED,18.6146,107.9364,CNOOC,OFFSHORE,GAS,DEVELOPING,WRENCH/RIFT,3717,NEOGENE,SANDSTONE,660.0,308.0,25.0,88.3
260,DRAKE POINT,DRAKE POINT-INTREPID INLET,CANADA,NORTH AMERICA,SVERDRUP,COMPRESSION/EVAPORITE/EXTENSION/LINKED,76.4462,-108.9172,PANARCTIC OILS,ONSHORE,GAS,UNDEVELOPED,FORELAND,3390,JURASSIC,SANDSTONE,100.0,71.0,20.0,566.0
261,DRAUGEN,ROGN (VIKING),NORWAY,EUROPE,MID-NORWAY SHELF,EXTENSION/EROSION,64.3656,7.7891,SHELL,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,4416,JURASSIC,SANDSTONE,100.0,66.0,20.0,6000.0
262,DUKHAN,ARAB C,QATAR,MIDDLE EAST,THE GULF,COMPRESSION/GRAVITY/EVAPORITE/EXTENSION/LINKED,25.4211,50.7836,QATAR PETROLEUM,ONSHORE,OIL,SECOND PLATEAU PRODUTION,SALT/FORELAND,5297,JURASSIC,LIMESTONE,84.0,15.0,18.0,30.0
263,DUKHAN,ARAB D,QATAR,MIDDLE EAST,THE GULF,COMPRESSION/GRAVITY/EVAPORITE/EXTENSION/LINKED,25.4211,50.7836,QATAR PETROLEUM,ONSHORE,OIL,SECOND PLATEAU PRODUTION,SALT/FORELAND,5439,JURASSIC,LIMESTONE,231.0,120.0,20.0,70.0
264,DUKHAN,UWAINAT,QATAR,MIDDLE EAST,THE GULF,COMPRESSION/GRAVITY/EVAPORITE/EXTENSION/LINKED,25.4211,50.7836,QATAR PETROLEUM,ONSHORE,OIL,UNKNOWN,SALT/FORELAND,6721,JURASSIC,LIMESTONE,120.0,75.0,18.0,15.0
267,DUNE,GRAYBURG,USA,NORTH AMERICA,PERMIAN,COMPRESSION,31.5521,-102.4349,NUMEROUS,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,3300,PERMIAN,DOLOMITE,300.0,80.0,13.0,11.0
269,DURI,BEKASAP (KEDUA-PERTAMA SANDS),INDONESIA,FAR EAST,SUMATRA CENTRAL,INVERSION/STRIKE-SLIP/TRANSPRESSION/EXTENSION/BASEMENT-I,1.2956,101.2304,CALTEX PACIFIC INDONESIA,ONSHORE,OIL,MATURE PRODUCTION,INVERSION/BACKARC,400,NEOGENE,SANDSTONE,280.0,150.0,34.0,1500.0
270,DURI,DURI (RINDU SAND),INDONESIA,FAR EAST,SUMATRA CENTRAL,INVERSION/STRIKE-SLIP/TRANSPRESSION/EXTENSION/BASEMENT-I,1.2956,101.2304,CALTEX PACIFIC INDONESIA,ONSHORE,OIL,MATURE PRODUCTION,INVERSION/BACKARC,220,NEOGENE,SANDSTONE,120.0,52.0,32.0,1900.0
271,DZHIGALYBEG,RED SERIES,TURKMENISTAN,FORMER SOVIET UNION,CASPIAN SOUTH,COMPRESSION/EVAPORITE/EXTENSION/LINKED,39.47,52.73,DRAGON OIL,OFFSHORE,OIL,DEVELOPING,THRUST,10100,NEOGENE,SANDSTONE,8200.0,260.0,18.0,100.0
275,EAST CLINTON,RED FORK,USA,NORTH AMERICA,ANADARKO,,35.5017,-98.8745,ANSON GAS CO,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,FORELAND,11450,CARBONIFEROUS,SANDSTONE,200.0,120.0,,1.0
276,EAST CROSSFIELD,WABAMUN (A POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION/EROSION,51.4001,-114.0265,BP AND OTHERS,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,7700,DEVONIAN,DOLOMITE,100.0,67.6,6.1,5.2
277,EAST TEXAS,WOODBINE,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE,32.1853,-94.9257,NUMEROUS,ONSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,3500,CRETACEOUS,SANDSTONE,51.0,37.0,25.0,2098.0
279,EKOFISK,TOR-EKOFISK,NORWAY,EUROPE,NORTH SEA CENTRAL,INVERSION/COMPRESSION/EXTENSION/EVAPORITE,56.5357,3.1985,CONOCOPHILLIPS,OFFSHORE,OIL,SECOND PLATEAU PRODUTION,SALT/INVERSION/RIFT,9250,CRETACEOUS-PALEOGENE,CHALK,820.0,590.0,32.0,1.5
280,EKOFISK WEST,TOR-EKOFISK,NORWAY,EUROPE,NORTH SEA CENTRAL,INVERSION/COMPRESSION/EXTENSION/EVAPORITE,56.5667,3.0847,CONOCOPHILLIPS,OFFSHORE,GAS-CONDENSATE,ABANDONED,SALT/INVERSION/RIFT,9870,CRETACEOUS-PALEOGENE,CHALK,650.0,360.0,30.0,1.5
281,EL BORMA,KIRCHAOU,TUNISIA /ALGERIA,AFRICA,GHADAMES,COMPRESSION/EXTENSION/EROSION/EVAPORITE,31.65,9.18,SITEP /SONATRACH,ONSHORE,OIL,DECLINING PRODUCTION,SUB-SALT,9022,TRIASSIC,SANDSTONE,353.0,190.0,17.0,500.0
284,EL DORADO,ADMIRE 650 SAND,USA,NORTH AMERICA,CHEROKEE,INVERSION/COMPRESSION/EXTENSION/EROSION,37.8526,-97.8984,OCCIDENTAL,ONSHORE,OIL,ABANDONED,FORELAND,500,PERMIAN,SANDSTONE,40.0,18.0,28.0,240.0
285,EL FURRIAL,MERECURE (NARICUAL-LOS JABILLOS),VENEZUELA,LATIN AMERICA,EASTERN VENEZUELA,COMPRESSION,9.6835,-63.4529,PDVSA,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST,12750,PALEOGENE,SANDSTONE,1600.0,850.0,15.0,480.0
288,ELGIN,FULMAR,UK,EUROPE,NORTH SEA CENTRAL,,57.0,1.85,TOTAL,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,SALT/RIFT,17250,JURASSIC,SANDSTONE,980.0,755.0,,25.0
289,ELK BASIN,MADISON,USA,NORTH AMERICA,BIG HORN,COMPRESSION/EXTENSION/LINKED,44.9789,-108.855,NUMEROUS,ONSHORE,OIL,MATURE PRODUCTION,THRUST/FORELAND,4350,CARBONIFEROUS,DOLOMITE,780.0,205.0,12.0,7.0
290,ELK BASIN,TENSLEEP,USA,NORTH AMERICA,BIG HORN,COMPRESSION/EXTENSION/LINKED,44.9789,-108.855,NUMEROUS,ONSHORE,OIL,ABANDONED,THRUST/FORELAND,4000,CARBONIFEROUS,SANDSTONE,250.0,110.0,17.0,150.0
293,ELK-POCA,ORISKANY,USA,NORTH AMERICA,APPALACHIAN,COMPRESSION/EROSION,38.6216,-81.6611,NUMEROUS,ONSHORE,GAS,NEARLY DEPLETED,FORELAND,4850,DEVONIAN,SANDSTONE,35.0,11.0,8.0,27.5
294,ELKHORN RANCH,MISSION CANYON (MADISON),USA,NORTH AMERICA,WILLISTON,COMPRESSION,47.2376,-103.5028,TENNECO /CENEX /SHELL,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,9125,CARBONIFEROUS,DOLOMITE,105.0,40.0,16.0,25.0
295,ELLIS RANCH,CLEVELAND,USA,NORTH AMERICA,ANADARKO,COMPRESSION/EROSION,36.2724,-100.7161,NUMEROUS,ONSHORE,GAS,DECLINING PRODUCTION,FORELAND,6500,CARBONIFEROUS,SHALY SANDSTONE,150.0,26.0,14.0,0.4
299,EMMA,SAN ANDRES,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.126999999999995,-102.6353,EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,4185,PERMIAN,DOLOMITE,350.0,40.0,8.0,3.0
300,EMPIRE ABO,ABO,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.7677,-104.2507,BP,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,5600,PERMIAN,DOLOMITE,300.0,151.0,10.0,50.0
301,ENDICOTT,KEKIKTUK,USA,NORTH AMERICA,NORTH SLOPE,,70.3458,-148.0193,BP,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,9484,CARBONIFEROUS,SANDSTONE,800.0,337.0,,1000.0
302,ERB WEST,STAGE IVD (N SAND),MALAYSIA,FAR EAST,SABAH,STRIKE-SLIP/TRANSTENSION/GRAVITY/SHALE/EXTENSION/SYNSEDIMENTATION/BASEMENT-I,6.353,115.67,PETRONAS,OFFSHORE,OIL,DECLINING PRODUCTION,WRENCH/BACKARC,6048,NEOGENE,SANDSTONE,550.0,140.0,20.0,140.0
303,ERSKINE,HEATHER,UK,EUROPE,NORTH SEA CENTRAL,INVERSION/COMPRESSION/EXTENSION,57.0556,2.0694,CHEVRON,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,14900,JURASSIC,SANDSTONE,60.0,50.0,20.0,18.0
304,ERSKINE,PENTLAND,UK,EUROPE,NORTH SEA CENTRAL,INVERSION/COMPRESSION/EXTENSION,57.0556,2.0694,CHEVRON,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,14700,JURASSIC,SANDSTONE,500.0,150.0,16.0,10.0
305,ERSKINE,PUFFIN (ERSKINE SANDSTONE),UK,EUROPE,NORTH SEA CENTRAL,INVERSION/COMPRESSION/EXTENSION,57.0556,2.0694,CHEVRON,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,14700,JURASSIC,SHALY SANDSTONE,220.0,210.0,23.0,10.0
308,ETAME,GAMBA,GABON,AFRICA,GABON SOUTH,EXTENSION/EROSION/GRAVITY/EVAPORITE,-3.7656,10.5213,VAALCO,OFFSHORE,OIL,DEVELOPING,SUB-SALT/RIFT,5590,CRETACEOUS,SANDSTONE,47.0,36.0,30.0,1550.0
309,EUGENE ISLAND 330,LENTICULINA 1-TRIMOSINA A,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,,28.2356,-91.7095,DEVON ENERGY /SHELL /CHEVRON,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/SALT/PASSIVE MARGIN,3860,NEOGENE,LOW-RESISTIVITY SANDSTONE,6500.0,200.0,,700.0
310,EVEREST,FORTIES,UK,EUROPE,NORTH SEA CENTRAL,EXTENSION/EVAPORITE/GRAVITY,57.75,1.81,BP,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,8008,PALEOGENE,SANDSTONE,85.0,50.0,22.0,27.0
312,FAIRWAY,JAMES LIMESTONE,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE/DIAPIR,32.1068,-95.5215,HUNT OIL COMPANY,ONSHORE,OIL,NEARLY DEPLETED,SALT/PASSIVE MARGIN,10000,CRETACEOUS,LIMESTONE,150.0,70.0,11.0,25.0
315,FLOUNDER,LATROBE (T1.1 UNIT),AUSTRALIA,FAR EAST,GIPPSLAND,INVERSION/COMPRESSION/EXTENSION/EROSION,-38.33,148.417,EXXONMOBIL /BHP BILLITON,OFFSHORE,OIL,DECLINING PRODUCTION,INVERSION/RIFT,7677,CRETACEOUS,SANDSTONE,138.0,125.0,20.0,1200.0
317,FORD-GERALDINE,BELL CANYON,USA,NORTH AMERICA,PERMIAN,COMPRESSION,31.92,-104.0,CONOCOPHILLIPS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2650,PERMIAN,SANDSTONE,47.0,25.0,21.0,18.0
322,FRANKLIN,FULMAR,UK,EUROPE,NORTH SEA CENTRAL,INVERSION/COMPRESSION/EXTENSION/EVAPORITE,56.9667,1.8667,TOTAL,OFFSHORE,GAS-CONDENSATE,PLATEAU PRODUCTION,SALT/RIFT,16360,JURASSIC,SANDSTONE,980.0,490.0,16.0,10.0
323,FRIENDSWOOD,FRIO,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,,29.5608,-95.1893,EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,DELTA/SALT/PASSIVE MARGIN,5515,PALEOGENE,SANDSTONE,680.0,390.0,,2350.0
325,FULLERTON,WICHITA-CLEARFORK,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.388000000000005,-102.803,EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,6700,PERMIAN,DOLOMITE,2000.0,150.0,10.0,3.0
327,FUYU,FUYU (QUANTOU),CHINA,FAR EAST,SONGLIAO,INVERSION/COMPRESSION/EXTENSION,45.1999,124.8167,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION/RIFT,1030,CRETACEOUS,SANDSTONE,260.0,33.0,24.0,182.0
329,GAMYSHLDZHA,RED SERIES (HK-1 TO HK-5),TURKMENISTAN,FORMER SOVIET UNION,CASPIAN SOUTH,COMPRESSION/SHALE/REACTIVATION/BASEMENT-I,36.4333,54.0,TURKMENNEFT,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND/THRUST,9088,NEOGENE,SANDSTONE,1800.0,160.0,20.0,125.0
337,GAROUPA,MACAE (QUISSAMA),BRAZIL,LATIN AMERICA,CAMPOS,GRAVITY/EXTENSION/EVAPORITE,-22.379,-40.4117,PETROBRAS,OFFSHORE,OIL,MATURE PRODUCTION,SALT/PASSIVE MARGIN,9967,CRETACEOUS,LIMESTONE,427.0,160.0,19.0,175.0
338,GARRINGTON,CARDIUM (A SAND),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,51.7349,-114.0274,HUDSONS BAY OIL and GAS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,5400,CRETACEOUS,SANDSTONE,300.0,2.12,12.0,7.0
339,GARRINGTON,CARDIUM (B SAND),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,51.7349,-114.0274,HUDSONS BAY OIL and GAS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,5500,CRETACEOUS,SANDSTONE,300.0,3.06,13.3,43.2
341,GASIKULE,LOWER GANCHAIGOU,CHINA,FAR EAST,QAIDAM,COMPRESSION,38.1,90.87,PETROCHINA,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST,10427,PALEOGENE,SANDSTONE,804.0,93.0,14.0,48.0
342,GASIKULE,UPPER GANCHAIGOU-LOWER YOUSHAS,CHINA,FAR EAST,QAIDAM,COMPRESSION,38.1,90.87,PETROCHINA,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST,4199,NEOGENE,SANDSTONE,3281.0,81.0,19.0,102.0
344,GENESIS,N1-N3,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,GRAVITY/EXTENSION/EVAPORITE/DIAPIR/SYNSEDIMENTATION,27.7656,-90.72,CHEVRON,OFFSHORE,OIL,PLATEAU PRODUCTION,DELTA/SALT/PASSIVE MARGIN,8620,NEOGENE,SANDSTONE,400.0,250.0,32.0,800.0
349,GIDGEALPA,HUTTON,AUSTRALIA,FAR EAST,COOPER/EROMANGA,INVERSION/COMPRESSION/EXTENSION,-28.0,140.0,SANTOS,ONSHORE,OIL,PLATEAU PRODUCTION,INTRACRATONIC,5392,JURASSIC,SANDSTONE,600.0,50.0,18.0,1000.0
352,GIRASSOL,MALEMBO (B SAND SYSTEM),ANGOLA,AFRICA,CONGO,,-7.6714,11.7025,TOTAL,OFFSHORE,OIL,DEVELOPING,SALT/PASSIVE MARGIN,3470,PALEOGENE,SANDSTONE,790.0,300.0,,4200.0
353,GLENBURN,MISSION CANYON (FROBISHER-ALIDA),USA,NORTH AMERICA,WILLISTON,COMPRESSION,48.5237,-101.1809,ANSCHUTZ AND OTHERS,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,4840,CARBONIFEROUS,LIMESTONE,100.0,10.0,17.0,24.0
360,GOLDEN SPIKE,LEDUC,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,53.4193,-113.8877,IMPERIAL OIL RESOURCES,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,5350,DEVONIAN,LIMESTONE,646.0,480.0,10.0,50.0
362,GORGON,MUNGAROO,AUSTRALIA,FAR EAST,CARNARVON,INVERSION/COMPRESSION/EXTENSION/EROSION,-20.5787,114.7728,CHEVRON,OFFSHORE,GAS,UNDEVELOPED,RIFT/PASSIVE MARGIN,10300,TRIASSIC,SANDSTONE,2300.0,260.0,16.0,700.0
363,GOTURDEPE,RED SERIES,TURKMENISTAN,FORMER SOVIET UNION,CASPIAN SOUTH,COMPRESSION/EVAPORITE/EXTENSION/LINKED,39.66,53.77,TURKMENNEFT,ONSHORE,OIL,MATURE PRODUCTION,THRUST,5200,NEOGENE,SANDSTONE,7500.0,800.0,23.0,100.0
365,GREATER BURGAN,WARA-BURGAN,KUWAIT,MIDDLE EAST,THE GULF,COMPRESSION/EVAPORITE,28.9167,47.9333,KUWAIT OIL CO,ONSHORE,OIL,REJUVENATING,FORELAND/SALT,3550,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,1350.0,900.0,24.0,1000.0
